Subject ID Mapping,
Walking Up Stairs/Walking Down Stairs,
Old ID ,New ID 
102,0
103,1
105,2
106,3
107,4
108,5
110,6
112,7
113,8
114,9
115,10
116,11
117,12
118,13
119,14
120,15
121,16
122,17
123,18
124,19
125,20
126,21
127,22
128,23
129,24
130,25
131,26
132,27
133,28
134,29
136,30
137,31
138,32
139,33
140,34
142,35
143,36
144,37
146,38
148,39
149,40
150,41
151,42
152,43
153,44
154,45
155,46
156,47
157,48
159,49
160,50
161,51
162,52
163,53
164,54
165,55
166,56
169,57
170,58
171,59
172,60
173,61
174,62
175,63
177,64
178,65
179,66
180,67
181,68
182,69
183,70
184,71
185,72
186,73
187,74
188,75
190,76
191,77
192,78
,
Walking ,
Old ID ,New ID 
102,0
103,1
105,2
106,3
107,4
108,5
110,6
112,7
113,8
114,9
115,10
116,11
117,12
118,13
119,14
120,15
121,16
122,17
123,18
124,19
125,20
126,21
127,22
128,23
129,24
130,25
131,26
132,27
133,28
134,29
136,30
137,31
138,32
139,33
140,34
142,35
143,36
144,37
146,38
148,39
149,40
150,41
151,42
152,43
153,44
154,45
155,46
156,47
157,48
159,49
160,50
161,51
162,52
163,53
164,54
165,55
166,56
169,57
170,58
171,59
172,60
173,61
174,62
175,63
177,64
178,65
179,66
180,67
181,68
182,69
183,70
184,71
185,72
186,73
188,74
190,75
191,76
192,77
,
Folding Laundry ,
Old ID ,New ID
102,0
103,1
105,2
106,3
107,4
108,5
110,6
112,7
113,8
114,9
115,10
116,11
117,12
118,13
119,14
120,15
121,16
122,17
123,18
124,19
125,20
126,21
127,22
129,23
130,24
132,25
133,26
134,27
136,28
137,29
138,30
139,31
140,32
142,33
143,34
144,35
146,36
148,37
149,38
150,39
151,40
152,41
153,42
154,43
155,44
156,45
157,46
159,47
160,48
161,49
162,50
163,51
164,52
165,53
166,54
169,55
171,56
172,57
173,58
174,59
175,60
177,61
178,62
179,63
180,64
181,65
182,66
183,67
184,68
185,69
186,70
187,71
188,72
189,73
190,74
191,75
192,76
,
Treadmill at 1MPH,
Old ID,New ID
107,0
108,1
113,2
120,3
110,4
123,5
126,6
127,7
130,8
131,9
132,10
133,11
137,12
146,13
150,14
156,15
160,16
161,17
164,18
170,19
183,20
185,21
186,22
187,23
188,24
152,25
125,26
154,27
,
Treadmill at 6MPH,
Old ID,New ID
192,0
191,1
190,2
187,3
186,4
182,5
177,6
170,7
164,8
161,9
160,10
157,11
156,12
155,13
154,14
151,15
146,16
143,17
140,18
134,19
132,20
131,21
130,22
129,23
128,24
127,25
125,26
124,27
120,28
118,29
116,30
113,31
106,32
105,33
102,34
126,35
185,36