1,0.161,1.012,0.041,0.161,1.012,0.041,0.161,1.012,0.041,0.041,120
2,0.1751,0.998125,0.04265174,-0.123,0.449,-0.273,0.569,1.73,0.636,0.197585,120
3,0.269985,0.95259,0.02095025,-0.663,0.053,-0.537,0.9,2.504,1.029,0.28604106,120
4,0.23729,1.021005,0.04994527,-0.419,0.302,-0.672,0.912,3.088,0.871,0.33669998,120
5,0.25282,1.002465,0.09825871,-0.419,0.085,-0.692,0.985,3.126,1.123,0.28420838,120
11,-0.17784,0.91196,-0.255175,-1.76,0.381,-0.991,0.575,2.185,0.425,0.37483549,126
12,-0.212285,0.944425,-0.27592,-2.531,-0.164,-1.302,0.745,2.463,1.129,0.512069908,126
13,-0.181485,0.9298,-0.265275,-1.584,0.158,-0.912,0.378,2.188,0.352,0.422051282,126
14,-0.240255,0.920535,-0.16219,-0.894,0.276,-0.674,0.328,1.824,0.413,0.341981217,126
15,-0.18899,0.88807,-0.2548,-1.067,0.164,-0.663,0.405,2.314,0.091,0.375133143,126
21,0.161,-0.938,0.279,0.161,-0.938,0.279,0.161,-0.938,0.279,0.300814023,156
22,0.117805,-0.927595,0.24333,-0.138,-1.73,-0.018,0.499,-0.566,0.346,0.499,156
23,0.066095,-0.96563,0.258055,-0.434,-2.147,-0.018,0.877,-0.484,1.457,0.38109598,156
24,0.0267,-0.953035,0.258375,-0.337,-1.974,-0.032,0.516,-0.452,1.123,0.346749673,156
25,0.02719,-0.940095,0.260635,-0.37,-2.062,-0.029,0.704,-0.361,1.323,0.363820458,156
31,-0.45833,-0.833795,-0.188035,-0.51,-0.845,-0.208,-0.434,-0.809,-0.176,0.070386404,160
32,-0.450975,-0.836115,-0.193795,-0.472,-0.85,-0.208,-0.431,-0.824,-0.182,0.069822765,160
33,-0.392325,-0.831725,-0.199925,-1.067,-1.93,-0.481,-0.088,-0.537,0.235,0.091959998,160
34,-0.401295,-0.864675,-0.253935,-1.387,-2.191,-0.745,0.103,-0.299,0.413,0.136624539,160
35,-0.385685,-0.84215,-0.25332,-1.202,-1.78,-0.613,0.07,-0.387,0.261,0.114291678,160
41,0.22,-0.997,0.023,0.22,-0.997,0.023,0.22,-0.997,0.023,0.284952476,186
42,0.189205,-1.000435,0.048475,-0.182,-2.496,-0.205,0.85,-0.49,0.554,0.350939628,186
43,0.160725,-0.980415,-0.004105,-0.182,-2.698,-0.46,0.704,-0.364,0.534,0.355025696,186
44,0.163155,-1.03542,-0.01034,-0.243,-2.73,-0.367,0.692,-0.314,0.434,0.406670512,186
45,0.17722,-1.014875,0.127495,-0.191,-2.933,-0.346,0.909,-0.484,0.672,0.369252118,186
51,0.14432,-0.971825,-0.015285,-0.188,-1.924,-0.29,0.716,-0.455,0.37,0.289395624,187
52,0.141305,-1.00789,0.023215,-0.364,-1.806,-0.188,0.695,-0.375,0.252,0.33005736,187
53,0.14139,-0.9949,0.019295,-0.405,-1.894,-0.229,0.71,-0.393,0.27,0.323520357,187
54,0.148985,-1.04474,0.08063,-0.557,-2.455,-0.196,1.094,-0.425,0.496,0.382490477,187
55,0.15207,-0.96894,0.029445,-0.507,-2.27,-0.246,0.704,-0.349,0.381,0.315351979,187